uniques,count,timestamp,day,mo,yr,collection_timestamp
18,58,2020-05-12T00:00:00Z,12,05,2020,2020-05-26 10:54:54.934175
57,191,2020-05-13T00:00:00Z,13,05,2020,2020-05-26 10:54:54.934175
51,183,2020-05-14T00:00:00Z,14,05,2020,2020-05-26 10:54:54.934175
52,258,2020-05-15T00:00:00Z,15,05,2020,2020-05-26 10:54:54.934175
28,46,2020-05-16T00:00:00Z,16,05,2020,2020-05-26 10:54:54.934175
32,137,2020-05-17T00:00:00Z,17,05,2020,2020-05-26 10:54:54.934175
49,183,2020-05-18T00:00:00Z,18,05,2020,2020-05-26 10:54:54.934175
51,181,2020-05-19T00:00:00Z,19,05,2020,2020-05-26 10:54:54.934175
60,112,2020-05-20T00:00:00Z,20,05,2020,2020-05-26 10:54:54.934175
46,106,2020-05-21T00:00:00Z,21,05,2020,2020-05-26 10:54:54.934175
45,93,2020-05-22T00:00:00Z,22,05,2020,2020-05-26 10:54:54.934175
25,69,2020-05-23T00:00:00Z,23,05,2020,2020-05-26 10:54:54.934175
34,88,2020-05-24T00:00:00Z,24,05,2020,2020-05-26 10:54:54.934175
44,101,2020-05-25T00:00:00Z,25,05,2020,2020-05-26 10:54:54.934175
38,139,2020-05-26T00:00:00Z,26,05,2020,2020-05-26 10:54:54.934175
