uniques,count,timestamp,day,mo,yr,collection_timestamp
13,28,2020-04-20T00:00:00Z,20,04,2020,2020-05-04 10:41:38.065660
38,119,2020-04-21T00:00:00Z,21,04,2020,2020-05-04 10:41:38.065660
70,157,2020-04-22T00:00:00Z,22,04,2020,2020-05-04 10:41:38.065660
63,145,2020-04-23T00:00:00Z,23,04,2020,2020-05-04 10:41:38.065660
59,134,2020-04-24T00:00:00Z,24,04,2020,2020-05-04 10:41:38.065660
33,167,2020-04-25T00:00:00Z,25,04,2020,2020-05-04 10:41:38.065660
31,120,2020-04-26T00:00:00Z,26,04,2020,2020-05-04 10:41:38.065660
49,121,2020-04-27T00:00:00Z,27,04,2020,2020-05-04 10:41:38.065660
46,154,2020-04-28T00:00:00Z,28,04,2020,2020-05-04 10:41:38.065660
46,172,2020-04-29T00:00:00Z,29,04,2020,2020-05-04 10:41:38.065660
50,193,2020-04-30T00:00:00Z,30,04,2020,2020-05-04 10:41:38.065660
23,48,2020-05-01T00:00:00Z,01,05,2020,2020-05-04 10:41:38.065660
26,62,2020-05-02T00:00:00Z,02,05,2020,2020-05-04 10:41:38.065660
27,103,2020-05-03T00:00:00Z,03,05,2020,2020-05-04 10:41:38.065660
40,78,2020-05-04T00:00:00Z,04,05,2020,2020-05-04 10:41:38.065660
