uniques,count,timestamp,day,mo,yr,collection_timestamp
8,28,2020-08-03T00:00:00Z,03,08,2020,2020-08-17 08:35:08.360140
39,97,2020-08-04T00:00:00Z,04,08,2020,2020-08-17 08:35:08.360140
37,124,2020-08-05T00:00:00Z,05,08,2020,2020-08-17 08:35:08.360140
52,152,2020-08-06T00:00:00Z,06,08,2020,2020-08-17 08:35:08.360140
42,92,2020-08-07T00:00:00Z,07,08,2020,2020-08-17 08:35:08.360140
17,29,2020-08-08T00:00:00Z,08,08,2020,2020-08-17 08:35:08.360140
16,43,2020-08-09T00:00:00Z,09,08,2020,2020-08-17 08:35:08.360140
42,127,2020-08-10T00:00:00Z,10,08,2020,2020-08-17 08:35:08.360140
44,107,2020-08-11T00:00:00Z,11,08,2020,2020-08-17 08:35:08.360140
56,160,2020-08-12T00:00:00Z,12,08,2020,2020-08-17 08:35:08.360140
40,109,2020-08-13T00:00:00Z,13,08,2020,2020-08-17 08:35:08.360140
33,96,2020-08-14T00:00:00Z,14,08,2020,2020-08-17 08:35:08.360140
23,99,2020-08-15T00:00:00Z,15,08,2020,2020-08-17 08:35:08.360140
25,85,2020-08-16T00:00:00Z,16,08,2020,2020-08-17 08:35:08.360140
34,149,2020-08-17T00:00:00Z,17,08,2020,2020-08-17 08:35:08.360140
