uniques,count,timestamp,day,mo,yr,collection_timestamp
1,1,2020-05-04T00:00:00Z,04,05,2020,2020-05-18 09:05:23.038646
8,10,2020-05-05T00:00:00Z,05,05,2020,2020-05-18 09:05:23.038646
13,16,2020-05-06T00:00:00Z,06,05,2020,2020-05-18 09:05:23.038646
7,8,2020-05-07T00:00:00Z,07,05,2020,2020-05-18 09:05:23.038646
6,6,2020-05-08T00:00:00Z,08,05,2020,2020-05-18 09:05:23.038646
10,17,2020-05-09T00:00:00Z,09,05,2020,2020-05-18 09:05:23.038646
9,12,2020-05-10T00:00:00Z,10,05,2020,2020-05-18 09:05:23.038646
12,12,2020-05-11T00:00:00Z,11,05,2020,2020-05-18 09:05:23.038646
15,15,2020-05-12T00:00:00Z,12,05,2020,2020-05-18 09:05:23.038646
8,8,2020-05-13T00:00:00Z,13,05,2020,2020-05-18 09:05:23.038646
5,5,2020-05-14T00:00:00Z,14,05,2020,2020-05-18 09:05:23.038646
9,9,2020-05-15T00:00:00Z,15,05,2020,2020-05-18 09:05:23.038646
7,7,2020-05-16T00:00:00Z,16,05,2020,2020-05-18 09:05:23.038646
4,4,2020-05-17T00:00:00Z,17,05,2020,2020-05-18 09:05:23.038646
12,17,2020-05-18T00:00:00Z,18,05,2020,2020-05-18 09:05:23.038646
