uniques,count,timestamp,day,mo,yr,collection_timestamp
4,4,2019-12-30T00:00:00Z,30,12,2019,2020-01-13 12:31:21.571458
22,30,2019-12-31T00:00:00Z,31,12,2019,2020-01-13 12:31:21.571458
12,22,2020-01-01T00:00:00Z,01,01,2020,2020-01-13 12:31:21.571458
20,41,2020-01-02T00:00:00Z,02,01,2020,2020-01-13 12:31:21.571458
15,21,2020-01-03T00:00:00Z,03,01,2020,2020-01-13 12:31:21.571458
13,18,2020-01-04T00:00:00Z,04,01,2020,2020-01-13 12:31:21.571458
17,23,2020-01-05T00:00:00Z,05,01,2020,2020-01-13 12:31:21.571458
23,37,2020-01-06T00:00:00Z,06,01,2020,2020-01-13 12:31:21.571458
22,26,2020-01-07T00:00:00Z,07,01,2020,2020-01-13 12:31:21.571458
21,28,2020-01-08T00:00:00Z,08,01,2020,2020-01-13 12:31:21.571458
17,27,2020-01-09T00:00:00Z,09,01,2020,2020-01-13 12:31:21.571458
13,13,2020-01-10T00:00:00Z,10,01,2020,2020-01-13 12:31:21.571458
12,18,2020-01-11T00:00:00Z,11,01,2020,2020-01-13 12:31:21.571458
12,17,2020-01-12T00:00:00Z,12,01,2020,2020-01-13 12:31:21.571458
16,19,2020-01-13T00:00:00Z,13,01,2020,2020-01-13 12:31:21.571458
