uniques,count,timestamp,day,mo,yr,collection_timestamp
2,2,2020-03-13T00:00:00Z,13,03,2020,2020-03-27 12:08:58.863201
10,14,2020-03-14T00:00:00Z,14,03,2020,2020-03-27 12:08:58.863201
8,9,2020-03-15T00:00:00Z,15,03,2020,2020-03-27 12:08:58.863201
19,22,2020-03-16T00:00:00Z,16,03,2020,2020-03-27 12:08:58.863201
11,15,2020-03-17T00:00:00Z,17,03,2020,2020-03-27 12:08:58.863201
14,19,2020-03-18T00:00:00Z,18,03,2020,2020-03-27 12:08:58.863201
14,18,2020-03-19T00:00:00Z,19,03,2020,2020-03-27 12:08:58.863201
16,16,2020-03-20T00:00:00Z,20,03,2020,2020-03-27 12:08:58.863201
10,13,2020-03-21T00:00:00Z,21,03,2020,2020-03-27 12:08:58.863201
9,12,2020-03-22T00:00:00Z,22,03,2020,2020-03-27 12:08:58.863201
11,12,2020-03-23T00:00:00Z,23,03,2020,2020-03-27 12:08:58.863201
15,18,2020-03-24T00:00:00Z,24,03,2020,2020-03-27 12:08:58.863201
13,16,2020-03-25T00:00:00Z,25,03,2020,2020-03-27 12:08:58.863201
17,24,2020-03-26T00:00:00Z,26,03,2020,2020-03-27 12:08:58.863201
5,5,2020-03-27T00:00:00Z,27,03,2020,2020-03-27 12:08:58.863201
