uniques,count,timestamp,day,mo,yr,collection_timestamp
4,5,2020-03-02T00:00:00Z,02,03,2020,2020-03-16 10:23:12.845299
24,34,2020-03-03T00:00:00Z,03,03,2020,2020-03-16 10:23:12.845299
13,15,2020-03-04T00:00:00Z,04,03,2020,2020-03-16 10:23:12.845299
18,23,2020-03-05T00:00:00Z,05,03,2020,2020-03-16 10:23:12.845299
23,24,2020-03-06T00:00:00Z,06,03,2020,2020-03-16 10:23:12.845299
11,115,2020-03-07T00:00:00Z,07,03,2020,2020-03-16 10:23:12.845299
11,15,2020-03-08T00:00:00Z,08,03,2020,2020-03-16 10:23:12.845299
25,31,2020-03-09T00:00:00Z,09,03,2020,2020-03-16 10:23:12.845299
11,20,2020-03-10T00:00:00Z,10,03,2020,2020-03-16 10:23:12.845299
14,18,2020-03-11T00:00:00Z,11,03,2020,2020-03-16 10:23:12.845299
9,13,2020-03-12T00:00:00Z,12,03,2020,2020-03-16 10:23:12.845299
19,23,2020-03-13T00:00:00Z,13,03,2020,2020-03-16 10:23:12.845299
10,14,2020-03-14T00:00:00Z,14,03,2020,2020-03-16 10:23:12.845299
8,9,2020-03-15T00:00:00Z,15,03,2020,2020-03-16 10:23:12.845299
15,17,2020-03-16T00:00:00Z,16,03,2020,2020-03-16 10:23:12.845299
