uniques,count,timestamp,day,mo,yr,collection_timestamp
9,14,2020-05-04T00:00:00Z,04,05,2020,2020-05-18 09:05:22.105280
43,103,2020-05-05T00:00:00Z,05,05,2020,2020-05-18 09:05:22.105280
39,108,2020-05-06T00:00:00Z,06,05,2020,2020-05-18 09:05:22.105280
51,228,2020-05-07T00:00:00Z,07,05,2020,2020-05-18 09:05:22.105280
41,145,2020-05-08T00:00:00Z,08,05,2020,2020-05-18 09:05:22.105280
44,131,2020-05-09T00:00:00Z,09,05,2020,2020-05-18 09:05:22.105280
21,81,2020-05-10T00:00:00Z,10,05,2020,2020-05-18 09:05:22.105280
53,145,2020-05-11T00:00:00Z,11,05,2020,2020-05-18 09:05:22.105280
62,198,2020-05-12T00:00:00Z,12,05,2020,2020-05-18 09:05:22.105280
57,191,2020-05-13T00:00:00Z,13,05,2020,2020-05-18 09:05:22.105280
51,183,2020-05-14T00:00:00Z,14,05,2020,2020-05-18 09:05:22.105280
52,258,2020-05-15T00:00:00Z,15,05,2020,2020-05-18 09:05:22.105280
28,46,2020-05-16T00:00:00Z,16,05,2020,2020-05-18 09:05:22.105280
32,137,2020-05-17T00:00:00Z,17,05,2020,2020-05-18 09:05:22.105280
36,112,2020-05-18T00:00:00Z,18,05,2020,2020-05-18 09:05:22.105280
