uniques,count,timestamp,day,mo,yr,collection_timestamp
10,62,2020-05-18T00:00:00Z,18,05,2020,2020-06-01 08:43:20.735304
51,181,2020-05-19T00:00:00Z,19,05,2020,2020-06-01 08:43:20.735304
60,112,2020-05-20T00:00:00Z,20,05,2020,2020-06-01 08:43:20.735304
46,106,2020-05-21T00:00:00Z,21,05,2020,2020-06-01 08:43:20.735304
45,93,2020-05-22T00:00:00Z,22,05,2020,2020-06-01 08:43:20.735304
25,69,2020-05-23T00:00:00Z,23,05,2020,2020-06-01 08:43:20.735304
34,88,2020-05-24T00:00:00Z,24,05,2020,2020-06-01 08:43:20.735304
44,101,2020-05-25T00:00:00Z,25,05,2020,2020-06-01 08:43:20.735304
52,188,2020-05-26T00:00:00Z,26,05,2020,2020-06-01 08:43:20.735304
58,154,2020-05-27T00:00:00Z,27,05,2020,2020-06-01 08:43:20.735304
50,238,2020-05-28T00:00:00Z,28,05,2020,2020-06-01 08:43:20.735304
42,98,2020-05-29T00:00:00Z,29,05,2020,2020-06-01 08:43:20.735304
32,145,2020-05-30T00:00:00Z,30,05,2020,2020-06-01 08:43:20.735304
26,80,2020-05-31T00:00:00Z,31,05,2020,2020-06-01 08:43:20.735304
45,132,2020-06-01T00:00:00Z,01,06,2020,2020-06-01 08:43:20.735304
