uniques,count,timestamp,day,mo,yr,collection_timestamp
22,34,2020-02-06T00:00:00Z,06,02,2020,2020-02-19 16:30:01.213064
19,31,2020-02-07T00:00:00Z,07,02,2020,2020-02-19 16:30:01.213064
11,13,2020-02-08T00:00:00Z,08,02,2020,2020-02-19 16:30:01.213064
8,12,2020-02-09T00:00:00Z,09,02,2020,2020-02-19 16:30:01.213064
35,46,2020-02-10T00:00:00Z,10,02,2020,2020-02-19 16:30:01.213064
23,29,2020-02-11T00:00:00Z,11,02,2020,2020-02-19 16:30:01.213064
21,33,2020-02-12T00:00:00Z,12,02,2020,2020-02-19 16:30:01.213064
20,26,2020-02-13T00:00:00Z,13,02,2020,2020-02-19 16:30:01.213064
12,14,2020-02-14T00:00:00Z,14,02,2020,2020-02-19 16:30:01.213064
16,21,2020-02-15T00:00:00Z,15,02,2020,2020-02-19 16:30:01.213064
14,18,2020-02-16T00:00:00Z,16,02,2020,2020-02-19 16:30:01.213064
22,30,2020-02-17T00:00:00Z,17,02,2020,2020-02-19 16:30:01.213064
25,32,2020-02-18T00:00:00Z,18,02,2020,2020-02-19 16:30:01.213064
28,32,2020-02-19T00:00:00Z,19,02,2020,2020-02-19 16:30:01.213064
