uniques,count,timestamp,day,mo,yr,collection_timestamp
5,39,2020-06-29T00:00:00Z,29,06,2020,2020-07-13 10:49:23.147559
52,163,2020-06-30T00:00:00Z,30,06,2020,2020-07-13 10:49:23.147559
52,149,2020-07-01T00:00:00Z,01,07,2020,2020-07-13 10:49:23.147559
66,225,2020-07-02T00:00:00Z,02,07,2020,2020-07-13 10:49:23.147559
33,69,2020-07-03T00:00:00Z,03,07,2020,2020-07-13 10:49:23.147559
20,63,2020-07-04T00:00:00Z,04,07,2020,2020-07-13 10:49:23.147559
23,100,2020-07-05T00:00:00Z,05,07,2020,2020-07-13 10:49:23.147559
45,170,2020-07-06T00:00:00Z,06,07,2020,2020-07-13 10:49:23.147559
49,167,2020-07-07T00:00:00Z,07,07,2020,2020-07-13 10:49:23.147559
47,72,2020-07-08T00:00:00Z,08,07,2020,2020-07-13 10:49:23.147559
53,185,2020-07-09T00:00:00Z,09,07,2020,2020-07-13 10:49:23.147559
41,152,2020-07-10T00:00:00Z,10,07,2020,2020-07-13 10:49:23.147559
26,61,2020-07-11T00:00:00Z,11,07,2020,2020-07-13 10:49:23.147559
27,68,2020-07-12T00:00:00Z,12,07,2020,2020-07-13 10:49:23.147559
36,94,2020-07-13T00:00:00Z,13,07,2020,2020-07-13 10:49:23.147559
