uniques,count,timestamp,day,mo,yr,collection_timestamp
2,3,2020-05-25T00:00:00Z,25,05,2020,2020-06-08 09:44:37.230152
18,26,2020-05-26T00:00:00Z,26,05,2020,2020-06-08 09:44:37.230152
12,16,2020-05-27T00:00:00Z,27,05,2020,2020-06-08 09:44:37.230152
8,19,2020-05-28T00:00:00Z,28,05,2020,2020-06-08 09:44:37.230152
5,7,2020-05-29T00:00:00Z,29,05,2020,2020-06-08 09:44:37.230152
4,4,2020-05-30T00:00:00Z,30,05,2020,2020-06-08 09:44:37.230152
10,17,2020-05-31T00:00:00Z,31,05,2020,2020-06-08 09:44:37.230152
19,23,2020-06-01T00:00:00Z,01,06,2020,2020-06-08 09:44:37.230152
18,32,2020-06-02T00:00:00Z,02,06,2020,2020-06-08 09:44:37.230152
12,20,2020-06-03T00:00:00Z,03,06,2020,2020-06-08 09:44:37.230152
6,17,2020-06-04T00:00:00Z,04,06,2020,2020-06-08 09:44:37.230152
10,11,2020-06-05T00:00:00Z,05,06,2020,2020-06-08 09:44:37.230152
5,5,2020-06-06T00:00:00Z,06,06,2020,2020-06-08 09:44:37.230152
4,5,2020-06-07T00:00:00Z,07,06,2020,2020-06-08 09:44:37.230152
5,7,2020-06-08T00:00:00Z,08,06,2020,2020-06-08 09:44:37.230152
