uniques,count,timestamp,day,mo,yr,collection_timestamp
15,28,2020-04-27T00:00:00Z,27,04,2020,2020-05-11 08:07:25.524801
46,154,2020-04-28T00:00:00Z,28,04,2020,2020-05-11 08:07:25.524801
46,172,2020-04-29T00:00:00Z,29,04,2020,2020-05-11 08:07:25.524801
50,193,2020-04-30T00:00:00Z,30,04,2020,2020-05-11 08:07:25.524801
23,48,2020-05-01T00:00:00Z,01,05,2020,2020-05-11 08:07:25.524801
26,62,2020-05-02T00:00:00Z,02,05,2020,2020-05-11 08:07:25.524801
27,103,2020-05-03T00:00:00Z,03,05,2020,2020-05-11 08:07:25.524801
48,92,2020-05-04T00:00:00Z,04,05,2020,2020-05-11 08:07:25.524801
43,103,2020-05-05T00:00:00Z,05,05,2020,2020-05-11 08:07:25.524801
39,108,2020-05-06T00:00:00Z,06,05,2020,2020-05-11 08:07:25.524801
51,228,2020-05-07T00:00:00Z,07,05,2020,2020-05-11 08:07:25.524801
41,145,2020-05-08T00:00:00Z,08,05,2020,2020-05-11 08:07:25.524801
44,131,2020-05-09T00:00:00Z,09,05,2020,2020-05-11 08:07:25.524801
21,81,2020-05-10T00:00:00Z,10,05,2020,2020-05-11 08:07:25.524801
33,92,2020-05-11T00:00:00Z,11,05,2020,2020-05-11 08:07:25.524801
