uniques,count,timestamp,day,mo,yr,collection_timestamp
1,1,2020-07-14T00:00:00Z,14,07,2020,2020-07-28 14:23:44.850888
7,8,2020-07-15T00:00:00Z,15,07,2020,2020-07-28 14:23:44.850888
10,12,2020-07-16T00:00:00Z,16,07,2020,2020-07-28 14:23:44.850888
9,9,2020-07-17T00:00:00Z,17,07,2020,2020-07-28 14:23:44.850888
8,10,2020-07-18T00:00:00Z,18,07,2020,2020-07-28 14:23:44.850888
3,3,2020-07-19T00:00:00Z,19,07,2020,2020-07-28 14:23:44.850888
6,8,2020-07-20T00:00:00Z,20,07,2020,2020-07-28 14:23:44.850888
11,12,2020-07-21T00:00:00Z,21,07,2020,2020-07-28 14:23:44.850888
8,11,2020-07-22T00:00:00Z,22,07,2020,2020-07-28 14:23:44.850888
10,15,2020-07-23T00:00:00Z,23,07,2020,2020-07-28 14:23:44.850888
6,10,2020-07-24T00:00:00Z,24,07,2020,2020-07-28 14:23:44.850888
8,9,2020-07-25T00:00:00Z,25,07,2020,2020-07-28 14:23:44.850888
5,5,2020-07-26T00:00:00Z,26,07,2020,2020-07-28 14:23:44.850888
8,8,2020-07-27T00:00:00Z,27,07,2020,2020-07-28 14:23:44.850888
4,4,2020-07-28T00:00:00Z,28,07,2020,2020-07-28 14:23:44.850888
