uniques,count,timestamp,day,mo,yr,collection_timestamp
2,6,2020-08-03T00:00:00Z,03,08,2020,2020-08-17 08:35:10.130203
8,13,2020-08-04T00:00:00Z,04,08,2020,2020-08-17 08:35:10.130203
7,8,2020-08-05T00:00:00Z,05,08,2020,2020-08-17 08:35:10.130203
13,14,2020-08-06T00:00:00Z,06,08,2020,2020-08-17 08:35:10.130203
8,9,2020-08-07T00:00:00Z,07,08,2020,2020-08-17 08:35:10.130203
7,7,2020-08-08T00:00:00Z,08,08,2020,2020-08-17 08:35:10.130203
1,1,2020-08-09T00:00:00Z,09,08,2020,2020-08-17 08:35:10.130203
11,15,2020-08-10T00:00:00Z,10,08,2020,2020-08-17 08:35:10.130203
14,17,2020-08-11T00:00:00Z,11,08,2020,2020-08-17 08:35:10.130203
14,16,2020-08-12T00:00:00Z,12,08,2020,2020-08-17 08:35:10.130203
13,16,2020-08-13T00:00:00Z,13,08,2020,2020-08-17 08:35:10.130203
18,25,2020-08-14T00:00:00Z,14,08,2020,2020-08-17 08:35:10.130203
7,11,2020-08-15T00:00:00Z,15,08,2020,2020-08-17 08:35:10.130203
8,10,2020-08-16T00:00:00Z,16,08,2020,2020-08-17 08:35:10.130203
4,5,2020-08-17T00:00:00Z,17,08,2020,2020-08-17 08:35:10.130203
