uniques,count,timestamp,day,mo,yr,collection_timestamp
2,2,2020-07-21T00:00:00Z,21,07,2020,2020-08-04 12:01:57.442409
8,11,2020-07-22T00:00:00Z,22,07,2020,2020-08-04 12:01:57.442409
10,15,2020-07-23T00:00:00Z,23,07,2020,2020-08-04 12:01:57.442409
6,10,2020-07-24T00:00:00Z,24,07,2020,2020-08-04 12:01:57.442409
8,9,2020-07-25T00:00:00Z,25,07,2020,2020-08-04 12:01:57.442409
5,5,2020-07-26T00:00:00Z,26,07,2020,2020-08-04 12:01:57.442409
8,8,2020-07-27T00:00:00Z,27,07,2020,2020-08-04 12:01:57.442409
5,5,2020-07-28T00:00:00Z,28,07,2020,2020-08-04 12:01:57.442409
8,8,2020-07-29T00:00:00Z,29,07,2020,2020-08-04 12:01:57.442409
5,5,2020-07-30T00:00:00Z,30,07,2020,2020-08-04 12:01:57.442409
6,6,2020-07-31T00:00:00Z,31,07,2020,2020-08-04 12:01:57.442409
4,9,2020-08-01T00:00:00Z,01,08,2020,2020-08-04 12:01:57.442409
2,2,2020-08-02T00:00:00Z,02,08,2020,2020-08-04 12:01:57.442409
7,12,2020-08-03T00:00:00Z,03,08,2020,2020-08-04 12:01:57.442409
6,10,2020-08-04T00:00:00Z,04,08,2020,2020-08-04 12:01:57.442409
