uniques,count,timestamp,day,mo,yr,collection_timestamp
2,2,2020-06-29T00:00:00Z,29,06,2020,2020-07-13 10:49:24.070553
9,11,2020-06-30T00:00:00Z,30,06,2020,2020-07-13 10:49:24.070553
9,10,2020-07-01T00:00:00Z,01,07,2020,2020-07-13 10:49:24.070553
13,18,2020-07-02T00:00:00Z,02,07,2020,2020-07-13 10:49:24.070553
7,8,2020-07-03T00:00:00Z,03,07,2020,2020-07-13 10:49:24.070553
5,7,2020-07-04T00:00:00Z,04,07,2020,2020-07-13 10:49:24.070553
4,4,2020-07-05T00:00:00Z,05,07,2020,2020-07-13 10:49:24.070553
9,11,2020-07-06T00:00:00Z,06,07,2020,2020-07-13 10:49:24.070553
5,7,2020-07-07T00:00:00Z,07,07,2020,2020-07-13 10:49:24.070553
16,25,2020-07-08T00:00:00Z,08,07,2020,2020-07-13 10:49:24.070553
20,25,2020-07-09T00:00:00Z,09,07,2020,2020-07-13 10:49:24.070553
7,12,2020-07-10T00:00:00Z,10,07,2020,2020-07-13 10:49:24.070553
7,8,2020-07-11T00:00:00Z,11,07,2020,2020-07-13 10:49:24.070553
6,6,2020-07-12T00:00:00Z,12,07,2020,2020-07-13 10:49:24.070553
9,12,2020-07-13T00:00:00Z,13,07,2020,2020-07-13 10:49:24.070553
