uniques,count,timestamp,day,mo,yr,collection_timestamp
4,7,2020-01-27T00:00:00Z,27,01,2020,2020-02-10 08:58:15.188578
16,21,2020-01-28T00:00:00Z,28,01,2020,2020-02-10 08:58:15.188578
26,34,2020-01-29T00:00:00Z,29,01,2020,2020-02-10 08:58:15.188578
23,31,2020-01-30T00:00:00Z,30,01,2020,2020-02-10 08:58:15.188578
27,36,2020-01-31T00:00:00Z,31,01,2020,2020-02-10 08:58:15.188578
21,30,2020-02-01T00:00:00Z,01,02,2020,2020-02-10 08:58:15.188578
7,8,2020-02-02T00:00:00Z,02,02,2020,2020-02-10 08:58:15.188578
25,38,2020-02-03T00:00:00Z,03,02,2020,2020-02-10 08:58:15.188578
24,36,2020-02-04T00:00:00Z,04,02,2020,2020-02-10 08:58:15.188578
21,32,2020-02-05T00:00:00Z,05,02,2020,2020-02-10 08:58:15.188578
22,34,2020-02-06T00:00:00Z,06,02,2020,2020-02-10 08:58:15.188578
19,31,2020-02-07T00:00:00Z,07,02,2020,2020-02-10 08:58:15.188578
11,13,2020-02-08T00:00:00Z,08,02,2020,2020-02-10 08:58:15.188578
8,12,2020-02-09T00:00:00Z,09,02,2020,2020-02-10 08:58:15.188578
18,27,2020-02-10T00:00:00Z,10,02,2020,2020-02-10 08:58:15.188578
