uniques,count,timestamp,day,mo,yr,collection_timestamp
9,12,2020-04-14T00:00:00Z,14,04,2020,2020-04-27 14:28:42.867056
15,22,2020-04-15T00:00:00Z,15,04,2020,2020-04-27 14:28:42.867056
10,13,2020-04-16T00:00:00Z,16,04,2020,2020-04-27 14:28:42.867056
8,11,2020-04-17T00:00:00Z,17,04,2020,2020-04-27 14:28:42.867056
11,16,2020-04-18T00:00:00Z,18,04,2020,2020-04-27 14:28:42.867056
17,23,2020-04-19T00:00:00Z,19,04,2020,2020-04-27 14:28:42.867056
10,10,2020-04-20T00:00:00Z,20,04,2020,2020-04-27 14:28:42.867056
13,16,2020-04-21T00:00:00Z,21,04,2020,2020-04-27 14:28:42.867056
18,18,2020-04-22T00:00:00Z,22,04,2020,2020-04-27 14:28:42.867056
13,17,2020-04-23T00:00:00Z,23,04,2020,2020-04-27 14:28:42.867056
17,27,2020-04-24T00:00:00Z,24,04,2020,2020-04-27 14:28:42.867056
13,19,2020-04-25T00:00:00Z,25,04,2020,2020-04-27 14:28:42.867056
10,13,2020-04-26T00:00:00Z,26,04,2020,2020-04-27 14:28:42.867056
8,8,2020-04-27T00:00:00Z,27,04,2020,2020-04-27 14:28:42.867056
