uniques,count,timestamp,day,mo,yr,collection_timestamp
2,2,2020-03-09T00:00:00Z,09,03,2020,2020-03-23 10:31:36.172014
11,20,2020-03-10T00:00:00Z,10,03,2020,2020-03-23 10:31:36.172014
14,18,2020-03-11T00:00:00Z,11,03,2020,2020-03-23 10:31:36.172014
9,13,2020-03-12T00:00:00Z,12,03,2020,2020-03-23 10:31:36.172014
19,23,2020-03-13T00:00:00Z,13,03,2020,2020-03-23 10:31:36.172014
10,14,2020-03-14T00:00:00Z,14,03,2020,2020-03-23 10:31:36.172014
8,9,2020-03-15T00:00:00Z,15,03,2020,2020-03-23 10:31:36.172014
19,22,2020-03-16T00:00:00Z,16,03,2020,2020-03-23 10:31:36.172014
11,15,2020-03-17T00:00:00Z,17,03,2020,2020-03-23 10:31:36.172014
14,19,2020-03-18T00:00:00Z,18,03,2020,2020-03-23 10:31:36.172014
14,18,2020-03-19T00:00:00Z,19,03,2020,2020-03-23 10:31:36.172014
16,16,2020-03-20T00:00:00Z,20,03,2020,2020-03-23 10:31:36.172014
10,13,2020-03-21T00:00:00Z,21,03,2020,2020-03-23 10:31:36.172014
9,12,2020-03-22T00:00:00Z,22,03,2020,2020-03-23 10:31:36.172014
7,8,2020-03-23T00:00:00Z,23,03,2020,2020-03-23 10:31:36.172014
