uniques,count,timestamp,day,mo,yr,collection_timestamp
15,17,2020-02-10T00:00:00Z,10,02,2020,2020-02-24 09:37:51.552313
23,29,2020-02-11T00:00:00Z,11,02,2020,2020-02-24 09:37:51.552313
21,33,2020-02-12T00:00:00Z,12,02,2020,2020-02-24 09:37:51.552313
20,26,2020-02-13T00:00:00Z,13,02,2020,2020-02-24 09:37:51.552313
12,14,2020-02-14T00:00:00Z,14,02,2020,2020-02-24 09:37:51.552313
16,21,2020-02-15T00:00:00Z,15,02,2020,2020-02-24 09:37:51.552313
14,18,2020-02-16T00:00:00Z,16,02,2020,2020-02-24 09:37:51.552313
22,30,2020-02-17T00:00:00Z,17,02,2020,2020-02-24 09:37:51.552313
25,32,2020-02-18T00:00:00Z,18,02,2020,2020-02-24 09:37:51.552313
28,32,2020-02-19T00:00:00Z,19,02,2020,2020-02-24 09:37:51.552313
23,33,2020-02-20T00:00:00Z,20,02,2020,2020-02-24 09:37:51.552313
22,34,2020-02-21T00:00:00Z,21,02,2020,2020-02-24 09:37:51.552313
16,18,2020-02-22T00:00:00Z,22,02,2020,2020-02-24 09:37:51.552313
10,10,2020-02-23T00:00:00Z,23,02,2020,2020-02-24 09:37:51.552313
13,15,2020-02-24T00:00:00Z,24,02,2020,2020-02-24 09:37:51.552313
