uniques,count,timestamp,day,mo,yr,collection_timestamp
23,62,2020-01-27T00:00:00Z,27,01,2020,2020-02-10 08:58:14.115804
74,239,2020-01-28T00:00:00Z,28,01,2020,2020-02-10 08:58:14.115804
70,194,2020-01-29T00:00:00Z,29,01,2020,2020-02-10 08:58:14.115804
79,272,2020-01-30T00:00:00Z,30,01,2020,2020-02-10 08:58:14.115804
83,257,2020-01-31T00:00:00Z,31,01,2020,2020-02-10 08:58:14.115804
44,206,2020-02-01T00:00:00Z,01,02,2020,2020-02-10 08:58:14.115804
41,143,2020-02-02T00:00:00Z,02,02,2020,2020-02-10 08:58:14.115804
78,355,2020-02-03T00:00:00Z,03,02,2020,2020-02-10 08:58:14.115804
83,365,2020-02-04T00:00:00Z,04,02,2020,2020-02-10 08:58:14.115804
85,259,2020-02-05T00:00:00Z,05,02,2020,2020-02-10 08:58:14.115804
70,259,2020-02-06T00:00:00Z,06,02,2020,2020-02-10 08:58:14.115804
78,268,2020-02-07T00:00:00Z,07,02,2020,2020-02-10 08:58:14.115804
48,117,2020-02-08T00:00:00Z,08,02,2020,2020-02-10 08:58:14.115804
47,168,2020-02-09T00:00:00Z,09,02,2020,2020-02-10 08:58:14.115804
63,206,2020-02-10T00:00:00Z,10,02,2020,2020-02-10 08:58:14.115804
