uniques,count,timestamp,day,mo,yr,collection_timestamp
4,4,2020-03-23T00:00:00Z,23,03,2020,2020-04-06 08:24:16.535213
15,18,2020-03-24T00:00:00Z,24,03,2020,2020-04-06 08:24:16.535213
13,16,2020-03-25T00:00:00Z,25,03,2020,2020-04-06 08:24:16.535213
17,24,2020-03-26T00:00:00Z,26,03,2020,2020-04-06 08:24:16.535213
8,8,2020-03-27T00:00:00Z,27,03,2020,2020-04-06 08:24:16.535213
5,6,2020-03-28T00:00:00Z,28,03,2020,2020-04-06 08:24:16.535213
13,16,2020-03-29T00:00:00Z,29,03,2020,2020-04-06 08:24:16.535213
7,8,2020-03-30T00:00:00Z,30,03,2020,2020-04-06 08:24:16.535213
13,14,2020-03-31T00:00:00Z,31,03,2020,2020-04-06 08:24:16.535213
8,10,2020-04-01T00:00:00Z,01,04,2020,2020-04-06 08:24:16.535213
12,13,2020-04-02T00:00:00Z,02,04,2020,2020-04-06 08:24:16.535213
11,11,2020-04-03T00:00:00Z,03,04,2020,2020-04-06 08:24:16.535213
13,16,2020-04-04T00:00:00Z,04,04,2020,2020-04-06 08:24:16.535213
8,9,2020-04-05T00:00:00Z,05,04,2020,2020-04-06 08:24:16.535213
4,4,2020-04-06T00:00:00Z,06,04,2020,2020-04-06 08:24:16.535213
