uniques,count,timestamp,day,mo,yr,collection_timestamp
16,46,2020-04-06T00:00:00Z,06,04,2020,2020-04-20 08:50:33.031519
47,205,2020-04-07T00:00:00Z,07,04,2020,2020-04-20 08:50:33.031519
52,105,2020-04-08T00:00:00Z,08,04,2020,2020-04-20 08:50:33.031519
42,151,2020-04-09T00:00:00Z,09,04,2020,2020-04-20 08:50:33.031519
54,153,2020-04-10T00:00:00Z,10,04,2020,2020-04-20 08:50:33.031519
40,85,2020-04-11T00:00:00Z,11,04,2020,2020-04-20 08:50:33.031519
37,91,2020-04-12T00:00:00Z,12,04,2020,2020-04-20 08:50:33.031519
49,146,2020-04-13T00:00:00Z,13,04,2020,2020-04-20 08:50:33.031519
57,142,2020-04-14T00:00:00Z,14,04,2020,2020-04-20 08:50:33.031519
51,143,2020-04-15T00:00:00Z,15,04,2020,2020-04-20 08:50:33.031519
47,144,2020-04-16T00:00:00Z,16,04,2020,2020-04-20 08:50:33.031519
41,93,2020-04-17T00:00:00Z,17,04,2020,2020-04-20 08:50:33.031519
33,64,2020-04-18T00:00:00Z,18,04,2020,2020-04-20 08:50:33.031519
37,92,2020-04-19T00:00:00Z,19,04,2020,2020-04-20 08:50:33.031519
35,155,2020-04-20T00:00:00Z,20,04,2020,2020-04-20 08:50:33.031519
