uniques,count,timestamp,day,mo,yr,collection_timestamp
6,17,2020-07-21T00:00:00Z,21,07,2020,2020-08-04 12:01:56.099397
43,140,2020-07-22T00:00:00Z,22,07,2020,2020-08-04 12:01:56.099397
48,135,2020-07-23T00:00:00Z,23,07,2020,2020-08-04 12:01:56.099397
42,121,2020-07-24T00:00:00Z,24,07,2020,2020-08-04 12:01:56.099397
35,88,2020-07-25T00:00:00Z,25,07,2020,2020-08-04 12:01:56.099397
35,73,2020-07-26T00:00:00Z,26,07,2020,2020-08-04 12:01:56.099397
52,89,2020-07-27T00:00:00Z,27,07,2020,2020-08-04 12:01:56.099397
50,182,2020-07-28T00:00:00Z,28,07,2020,2020-08-04 12:01:56.099397
45,158,2020-07-29T00:00:00Z,29,07,2020,2020-08-04 12:01:56.099397
46,127,2020-07-30T00:00:00Z,30,07,2020,2020-08-04 12:01:56.099397
37,117,2020-07-31T00:00:00Z,31,07,2020,2020-08-04 12:01:56.099397
21,61,2020-08-01T00:00:00Z,01,08,2020,2020-08-04 12:01:56.099397
18,36,2020-08-02T00:00:00Z,02,08,2020,2020-08-04 12:01:56.099397
46,134,2020-08-03T00:00:00Z,03,08,2020,2020-08-04 12:01:56.099397
31,80,2020-08-04T00:00:00Z,04,08,2020,2020-08-04 12:01:56.099397
