uniques,count,timestamp,day,mo,yr,collection_timestamp
4,8,2020-07-14T00:00:00Z,14,07,2020,2020-07-28 14:23:14.632751
47,165,2020-07-15T00:00:00Z,15,07,2020,2020-07-28 14:23:14.632751
43,154,2020-07-16T00:00:00Z,16,07,2020,2020-07-28 14:23:14.632751
49,93,2020-07-17T00:00:00Z,17,07,2020,2020-07-28 14:23:14.632751
25,38,2020-07-18T00:00:00Z,18,07,2020,2020-07-28 14:23:14.632751
25,57,2020-07-19T00:00:00Z,19,07,2020,2020-07-28 14:23:14.632751
50,125,2020-07-20T00:00:00Z,20,07,2020,2020-07-28 14:23:14.632751
47,146,2020-07-21T00:00:00Z,21,07,2020,2020-07-28 14:23:14.632751
43,140,2020-07-22T00:00:00Z,22,07,2020,2020-07-28 14:23:14.632751
48,135,2020-07-23T00:00:00Z,23,07,2020,2020-07-28 14:23:14.632751
42,121,2020-07-24T00:00:00Z,24,07,2020,2020-07-28 14:23:14.632751
35,88,2020-07-25T00:00:00Z,25,07,2020,2020-07-28 14:23:14.632751
35,73,2020-07-26T00:00:00Z,26,07,2020,2020-07-28 14:23:14.632751
52,89,2020-07-27T00:00:00Z,27,07,2020,2020-07-28 14:23:14.632751
43,170,2020-07-28T00:00:00Z,28,07,2020,2020-07-28 14:23:14.632751
