uniques,count,timestamp,day,mo,yr,collection_timestamp
2,2,2020-04-27T00:00:00Z,27,04,2020,2020-05-11 08:07:26.743559
11,11,2020-04-28T00:00:00Z,28,04,2020,2020-05-11 08:07:26.743559
18,24,2020-04-29T00:00:00Z,29,04,2020,2020-05-11 08:07:26.743559
10,14,2020-04-30T00:00:00Z,30,04,2020,2020-05-11 08:07:26.743559
3,4,2020-05-01T00:00:00Z,01,05,2020,2020-05-11 08:07:26.743559
9,16,2020-05-02T00:00:00Z,02,05,2020,2020-05-11 08:07:26.743559
7,9,2020-05-03T00:00:00Z,03,05,2020,2020-05-11 08:07:26.743559
10,15,2020-05-04T00:00:00Z,04,05,2020,2020-05-11 08:07:26.743559
8,10,2020-05-05T00:00:00Z,05,05,2020,2020-05-11 08:07:26.743559
13,16,2020-05-06T00:00:00Z,06,05,2020,2020-05-11 08:07:26.743559
7,8,2020-05-07T00:00:00Z,07,05,2020,2020-05-11 08:07:26.743559
6,6,2020-05-08T00:00:00Z,08,05,2020,2020-05-11 08:07:26.743559
10,17,2020-05-09T00:00:00Z,09,05,2020,2020-05-11 08:07:26.743559
9,12,2020-05-10T00:00:00Z,10,05,2020,2020-05-11 08:07:26.743559
8,8,2020-05-11T00:00:00Z,11,05,2020,2020-05-11 08:07:26.743559
