uniques,count,timestamp,day,mo,yr,collection_timestamp
9,11,2019-12-30T00:00:00Z,30,12,2019,2020-01-13 12:31:20.354372
51,171,2019-12-31T00:00:00Z,31,12,2019,2020-01-13 12:31:20.354372
42,118,2020-01-01T00:00:00Z,01,01,2020,2020-01-13 12:31:20.354372
73,168,2020-01-02T00:00:00Z,02,01,2020,2020-01-13 12:31:20.354372
54,159,2020-01-03T00:00:00Z,03,01,2020,2020-01-13 12:31:20.354372
43,146,2020-01-04T00:00:00Z,04,01,2020,2020-01-13 12:31:20.354372
35,104,2020-01-05T00:00:00Z,05,01,2020,2020-01-13 12:31:20.354372
99,495,2020-01-06T00:00:00Z,06,01,2020,2020-01-13 12:31:20.354372
92,303,2020-01-07T00:00:00Z,07,01,2020,2020-01-13 12:31:20.354372
75,256,2020-01-08T00:00:00Z,08,01,2020,2020-01-13 12:31:20.354372
98,365,2020-01-09T00:00:00Z,09,01,2020,2020-01-13 12:31:20.354372
87,385,2020-01-10T00:00:00Z,10,01,2020,2020-01-13 12:31:20.354372
31,87,2020-01-11T00:00:00Z,11,01,2020,2020-01-13 12:31:20.354372
32,69,2020-01-12T00:00:00Z,12,01,2020,2020-01-13 12:31:20.354372
67,257,2020-01-13T00:00:00Z,13,01,2020,2020-01-13 12:31:20.354372
