uniques,count,timestamp,day,mo,yr,collection_timestamp
9,10,2020-01-13T00:00:00Z,13,01,2020,2020-01-27 08:58:37.712214
19,21,2020-01-14T00:00:00Z,14,01,2020,2020-01-27 08:58:37.712214
22,26,2020-01-15T00:00:00Z,15,01,2020,2020-01-27 08:58:37.712214
16,22,2020-01-16T00:00:00Z,16,01,2020,2020-01-27 08:58:37.712214
35,39,2020-01-17T00:00:00Z,17,01,2020,2020-01-27 08:58:37.712214
6,6,2020-01-18T00:00:00Z,18,01,2020,2020-01-27 08:58:37.712214
11,13,2020-01-19T00:00:00Z,19,01,2020,2020-01-27 08:58:37.712214
11,13,2020-01-20T00:00:00Z,20,01,2020,2020-01-27 08:58:37.712214
17,21,2020-01-21T00:00:00Z,21,01,2020,2020-01-27 08:58:37.712214
24,35,2020-01-22T00:00:00Z,22,01,2020,2020-01-27 08:58:37.712214
21,27,2020-01-23T00:00:00Z,23,01,2020,2020-01-27 08:58:37.712214
5,6,2020-01-24T00:00:00Z,24,01,2020,2020-01-27 08:58:37.712214
9,13,2020-01-25T00:00:00Z,25,01,2020,2020-01-27 08:58:37.712214
7,7,2020-01-26T00:00:00Z,26,01,2020,2020-01-27 08:58:37.712214
12,15,2020-01-27T00:00:00Z,27,01,2020,2020-01-27 08:58:37.712214
