uniques,count,timestamp,day,mo,yr,collection_timestamp
2,3,2020-01-20T00:00:00Z,20,01,2020,2020-02-03 10:15:40.970742
17,21,2020-01-21T00:00:00Z,21,01,2020,2020-02-03 10:15:40.970742
24,35,2020-01-22T00:00:00Z,22,01,2020,2020-02-03 10:15:40.970742
21,27,2020-01-23T00:00:00Z,23,01,2020,2020-02-03 10:15:40.970742
5,6,2020-01-24T00:00:00Z,24,01,2020,2020-02-03 10:15:40.970742
9,13,2020-01-25T00:00:00Z,25,01,2020,2020-02-03 10:15:40.970742
7,7,2020-01-26T00:00:00Z,26,01,2020,2020-02-03 10:15:40.970742
16,22,2020-01-27T00:00:00Z,27,01,2020,2020-02-03 10:15:40.970742
16,21,2020-01-28T00:00:00Z,28,01,2020,2020-02-03 10:15:40.970742
26,34,2020-01-29T00:00:00Z,29,01,2020,2020-02-03 10:15:40.970742
23,31,2020-01-30T00:00:00Z,30,01,2020,2020-02-03 10:15:40.970742
27,36,2020-01-31T00:00:00Z,31,01,2020,2020-02-03 10:15:40.970742
21,30,2020-02-01T00:00:00Z,01,02,2020,2020-02-03 10:15:40.970742
7,8,2020-02-02T00:00:00Z,02,02,2020,2020-02-03 10:15:40.970742
16,17,2020-02-03T00:00:00Z,03,02,2020,2020-02-03 10:15:40.970742
