uniques,count,timestamp,day,mo,yr,collection_timestamp
4,5,2020-05-18T00:00:00Z,18,05,2020,2020-06-01 08:43:22.785863
15,18,2020-05-19T00:00:00Z,19,05,2020,2020-06-01 08:43:22.785863
14,17,2020-05-20T00:00:00Z,20,05,2020,2020-06-01 08:43:22.785863
8,11,2020-05-21T00:00:00Z,21,05,2020,2020-06-01 08:43:22.785863
14,15,2020-05-22T00:00:00Z,22,05,2020,2020-06-01 08:43:22.785863
8,10,2020-05-23T00:00:00Z,23,05,2020,2020-06-01 08:43:22.785863
15,26,2020-05-24T00:00:00Z,24,05,2020,2020-06-01 08:43:22.785863
9,14,2020-05-25T00:00:00Z,25,05,2020,2020-06-01 08:43:22.785863
18,26,2020-05-26T00:00:00Z,26,05,2020,2020-06-01 08:43:22.785863
12,16,2020-05-27T00:00:00Z,27,05,2020,2020-06-01 08:43:22.785863
8,19,2020-05-28T00:00:00Z,28,05,2020,2020-06-01 08:43:22.785863
5,7,2020-05-29T00:00:00Z,29,05,2020,2020-06-01 08:43:22.785863
4,4,2020-05-30T00:00:00Z,30,05,2020,2020-06-01 08:43:22.785863
10,17,2020-05-31T00:00:00Z,31,05,2020,2020-06-01 08:43:22.785863
14,16,2020-06-01T00:00:00Z,01,06,2020,2020-06-01 08:43:22.785863
