uniques,count,timestamp,day,mo,yr,collection_timestamp
2,2,2020-05-12T00:00:00Z,12,05,2020,2020-05-26 10:54:56.584421
8,8,2020-05-13T00:00:00Z,13,05,2020,2020-05-26 10:54:56.584421
5,5,2020-05-14T00:00:00Z,14,05,2020,2020-05-26 10:54:56.584421
9,9,2020-05-15T00:00:00Z,15,05,2020,2020-05-26 10:54:56.584421
7,7,2020-05-16T00:00:00Z,16,05,2020,2020-05-26 10:54:56.584421
4,4,2020-05-17T00:00:00Z,17,05,2020,2020-05-26 10:54:56.584421
15,22,2020-05-18T00:00:00Z,18,05,2020,2020-05-26 10:54:56.584421
15,18,2020-05-19T00:00:00Z,19,05,2020,2020-05-26 10:54:56.584421
14,17,2020-05-20T00:00:00Z,20,05,2020,2020-05-26 10:54:56.584421
8,11,2020-05-21T00:00:00Z,21,05,2020,2020-05-26 10:54:56.584421
14,15,2020-05-22T00:00:00Z,22,05,2020,2020-05-26 10:54:56.584421
8,10,2020-05-23T00:00:00Z,23,05,2020,2020-05-26 10:54:56.584421
15,26,2020-05-24T00:00:00Z,24,05,2020,2020-05-26 10:54:56.584421
9,14,2020-05-25T00:00:00Z,25,05,2020,2020-05-26 10:54:56.584421
15,23,2020-05-26T00:00:00Z,26,05,2020,2020-05-26 10:54:56.584421
