uniques,count,timestamp,day,mo,yr,collection_timestamp
11,13,2020-05-25T00:00:00Z,25,05,2020,2020-06-08 09:44:36.027009
52,188,2020-05-26T00:00:00Z,26,05,2020,2020-06-08 09:44:36.027009
58,154,2020-05-27T00:00:00Z,27,05,2020,2020-06-08 09:44:36.027009
50,238,2020-05-28T00:00:00Z,28,05,2020,2020-06-08 09:44:36.027009
42,98,2020-05-29T00:00:00Z,29,05,2020,2020-06-08 09:44:36.027009
32,145,2020-05-30T00:00:00Z,30,05,2020,2020-06-08 09:44:36.027009
26,80,2020-05-31T00:00:00Z,31,05,2020,2020-06-08 09:44:36.027009
60,172,2020-06-01T00:00:00Z,01,06,2020,2020-06-08 09:44:36.027009
64,179,2020-06-02T00:00:00Z,02,06,2020,2020-06-08 09:44:36.027009
50,178,2020-06-03T00:00:00Z,03,06,2020,2020-06-08 09:44:36.027009
51,143,2020-06-04T00:00:00Z,04,06,2020,2020-06-08 09:44:36.027009
46,202,2020-06-05T00:00:00Z,05,06,2020,2020-06-08 09:44:36.027009
29,56,2020-06-06T00:00:00Z,06,06,2020,2020-06-08 09:44:36.027009
19,35,2020-06-07T00:00:00Z,07,06,2020,2020-06-08 09:44:36.027009
32,78,2020-06-08T00:00:00Z,08,06,2020,2020-06-08 09:44:36.027009
