uniques,count,timestamp,day,mo,yr,collection_timestamp
6,6,2020-02-24T00:00:00Z,24,02,2020,2020-03-09 09:10:46.017326
25,27,2020-02-25T00:00:00Z,25,02,2020,2020-03-09 09:10:46.017326
15,24,2020-02-26T00:00:00Z,26,02,2020,2020-03-09 09:10:46.017326
22,35,2020-02-27T00:00:00Z,27,02,2020,2020-03-09 09:10:46.017326
12,18,2020-02-28T00:00:00Z,28,02,2020,2020-03-09 09:10:46.017326
12,15,2020-02-29T00:00:00Z,29,02,2020,2020-03-09 09:10:46.017326
15,18,2020-03-01T00:00:00Z,01,03,2020,2020-03-09 09:10:46.017326
17,23,2020-03-02T00:00:00Z,02,03,2020,2020-03-09 09:10:46.017326
24,34,2020-03-03T00:00:00Z,03,03,2020,2020-03-09 09:10:46.017326
13,15,2020-03-04T00:00:00Z,04,03,2020,2020-03-09 09:10:46.017326
18,23,2020-03-05T00:00:00Z,05,03,2020,2020-03-09 09:10:46.017326
23,24,2020-03-06T00:00:00Z,06,03,2020,2020-03-09 09:10:46.017326
11,115,2020-03-07T00:00:00Z,07,03,2020,2020-03-09 09:10:46.017326
11,15,2020-03-08T00:00:00Z,08,03,2020,2020-03-09 09:10:46.017326
20,26,2020-03-09T00:00:00Z,09,03,2020,2020-03-09 09:10:46.017326
